experiment_name,model_name,backbone,base_weights,learning_rate,batch_size,early_stopping,num_epochs,best_epoch,dice_loss,latency_time,training_time_minute,model_size_mb,model_path,checkpoint_path
1_base_train,fcn8s_vgg16,vgg16,VGG16_Weights,0.001,8,10,1000,41,0.310176152994137,0.006530046463012695,6.046097870667776,512.5490436553955,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/1_base_train/fcn8s_vgg16/10_early_stopping_0.001_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/1_base_train/fcn8s_vgg16/10_early_stopping_0.001_learning_rate_8_batch_size/checkpoint.pth
2_base_train,fcn8s_resnet50,resnet50,ResNet50_Weights,0.001,8,10,1000,32,0.2637221789596104,0.010181188583374023,6.459094885985056,1722.4241428375244,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/2_base_train/fcn8s_resnet50/10_early_stopping_0.001_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/2_base_train/fcn8s_resnet50/10_early_stopping_0.001_learning_rate_8_batch_size/checkpoint.pth
3_base_train,fcn_resnet50,fcn_resnet50,FCN_ResNet50_Weights,0.001,8,10,1000,65,0.2447997248998963,0.008454561233520508,9.876824661095936,135.03535079956055,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/3_base_train/fcn_resnet50/10_early_stopping_0.001_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/3_base_train/fcn_resnet50/10_early_stopping_0.001_learning_rate_8_batch_size/checkpoint.pth
4_base_train,unet,,,0.001,8,10,1000,28,0.3491661330260853,0.0042896270751953125,5.1295801560084024,51.17608451843262,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/4_base_train/unet/10_early_stopping_0.001_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/4_base_train/unet/10_early_stopping_0.001_learning_rate_8_batch_size/checkpoint.pth
5_base_train,unet_resnet50,resnet50,ResNet50_Weights,0.001,8,10,1000,33,0.24206512576282616,0.014309883117675781,6.952723121643066,564.2484397888184,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/5_base_train/unet_resnet50/10_early_stopping_0.001_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/5_base_train/unet_resnet50/10_early_stopping_0.001_learning_rate_8_batch_size/checkpoint.pth
6_base_train,lr_aspp,lraspp_mobilenet_v3_large,LRASPP_MobileNet_V3_Large_Weights,0.001,8,10,1000,36,0.26605053821412644,0.010094881057739258,4.2604594945907595,12.48315143585205,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/6_base_train/lr_aspp/10_early_stopping_0.001_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/6_base_train/lr_aspp/10_early_stopping_0.001_learning_rate_8_batch_size/checkpoint.pth
7_base_train,deeplab_v3,deeplabv3_mobilenet_v3_large,DeepLabV3_MobileNet_V3_Large_Weights,0.001,8,10,1000,42,0.26537839551963427,0.010100603103637695,5.749960164229075,42.29044151306152,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/7_base_train/deeplab_v3/10_early_stopping_0.001_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/7_base_train/deeplab_v3/10_early_stopping_0.001_learning_rate_8_batch_size/checkpoint.pth
8_base_train,fcn8s_vgg16,vgg16,VGG16_Weights,0.0005,8,10,1000,35,0.2898841765847537,0.0035614967346191406,5.35699938138326,512.5490436553955,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/8_base_train/fcn8s_vgg16/10_early_stopping_0.0005_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/8_base_train/fcn8s_vgg16/10_early_stopping_0.0005_learning_rate_8_batch_size/checkpoint.pth
9_base_train,fcn8s_resnet50,resnet50,ResNet50_Weights,0.0005,8,10,1000,74,0.27725836900201173,0.010720014572143555,15.273176391919455,1722.4241428375244,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/9_base_train/fcn8s_resnet50/10_early_stopping_0.0005_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/9_base_train/fcn8s_resnet50/10_early_stopping_0.0005_learning_rate_8_batch_size/checkpoint.pth
10_base_train,fcn_resnet50,fcn_resnet50,FCN_ResNet50_Weights,0.0005,8,10,1000,31,0.23225902625829867,0.00873422622680664,4.961835396289826,135.03535079956055,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/10_base_train/fcn_resnet50/10_early_stopping_0.0005_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/10_base_train/fcn_resnet50/10_early_stopping_0.0005_learning_rate_8_batch_size/checkpoint.pth
11_base_train,unet,,,0.0005,8,10,1000,44,0.3227768139083787,0.004746675491333008,8.400508630275727,51.17608451843262,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/11_base_train/unet/10_early_stopping_0.0005_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/11_base_train/unet/10_early_stopping_0.0005_learning_rate_8_batch_size/checkpoint.pth
12_base_train,unet_resnet50,resnet50,ResNet50_Weights,0.0005,8,10,1000,71,0.23734387371799734,0.013031244277954102,15.642550663153331,564.2484397888184,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/12_base_train/unet_resnet50/10_early_stopping_0.0005_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/12_base_train/unet_resnet50/10_early_stopping_0.0005_learning_rate_8_batch_size/checkpoint.pth
13_base_train,lr_aspp,lraspp_mobilenet_v3_large,LRASPP_MobileNet_V3_Large_Weights,0.0005,8,10,1000,37,0.26046502826237444,0.008534669876098633,4.705758595466614,12.48315143585205,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/13_base_train/lr_aspp/10_early_stopping_0.0005_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/13_base_train/lr_aspp/10_early_stopping_0.0005_learning_rate_8_batch_size/checkpoint.pth
14_base_train,deeplab_v3,deeplabv3_mobilenet_v3_large,DeepLabV3_MobileNet_V3_Large_Weights,0.0005,8,10,1000,54,0.26958872127060846,0.009350299835205078,7.84669337272644,42.29044151306152,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/14_base_train/deeplab_v3/10_early_stopping_0.0005_learning_rate_8_batch_size/best_model.pth,/content/drive/MyDrive/Experiment/checkpoints/2024-05-03/14_base_train/deeplab_v3/10_early_stopping_0.0005_learning_rate_8_batch_size/checkpoint.pth
